src_node        end_node        start_time              end_time                duration
gs              sat_a           00:25:23:89             00:26:16:29             52.40
sat_a           sat_b           00:26:07:41             00:27:16:52             69.11
sat_a           sat_c           00:26:10:12             00:27:02:30             52.18
sat_a           gs              00:26:11:03             00:26:58:51             47.48
gs              sat_c           00:26:26:65             00:27:20:70             54.05
sat_b           sat_c           00:26:34:87             00:27:40:60             65.73
gs              sat_b           00:26:56:28             00:27:53:09             56.81
sat_b           sat_a           00:26:59:55             00:27:41:90             42.35
sat_c           sat_a           00:26:59:80             00:27:50:81             51.01
sat_b           gs              00:27:02:35             00:27:41:23             38.88
gs              sat_a           00:27:04:29             00:27:38:31             34.02
sat_c           gs              00:27:25:71             00:28:08:84             43.13
sat_c           sat_b           00:27:27:98             00:28:00:51             32.53
gs              sat_a           00:28:06:37             00:29:13:57             67.20
sat_c           sat_a           00:28:09:20             00:29:10:29             61.09
sat_b           sat_c           00:28:16:64             00:29:01:29             44.65
sat_a           sat_b           00:28:32:31             00:29:36:51             64.20
sat_c           gs              00:28:47:08             00:29:45:58             58.50
sat_a           sat_c           00:28:47:55             00:29:31:96             44.41
sat_a           gs              00:29:05:01             00:29:41:60             36.59
gs              sat_b           00:29:07:92             00:29:54:16             46.24
gs              sat_c           00:29:10:91             00:29:51:02             40.11
sat_b           gs              00:29:15:03             00:30:20:10             65.07
sat_c           sat_b           00:29:18:37             00:29:56:53             38.16
sat_b           sat_a           00:29:21:84             00:30:17:28             55.44
sat_b           gs              00:30:09:44             00:30:58:23             48.79
sat_c           sat_a           00:30:29:14             00:31:23:16             54.02
sat_b           sat_a           00:30:33:49             00:31:13:96             40.47
gs              sat_c           00:30:34:44             00:31:18:75             44.31
sat_a           gs              00:30:40:29             00:31:39:85             59.56
gs              sat_b           00:30:46:57             00:31:53:88             67.31
sat_a           sat_c           00:30:47:79             00:31:48:39             60.60
sat_c           sat_b           00:30:50:99             00:31:23:63             32.64
sat_b           sat_c           00:30:59:57             00:31:50:27             50.70
sat_c           gs              00:31:00:85             00:32:05:93             65.08
sat_a           sat_b           00:31:05:04             00:31:43:89             38.85
gs              sat_a           00:31:21:34             00:32:28:42             67.08
sat_c           sat_a           00:32:06:70             00:33:15:37             68.67
sat_a           gs              00:32:18:99             00:33:23:45             64.46
gs              sat_c           00:32:22:58             00:33:08:23             45.65
sat_c           sat_b           00:32:25:11             00:33:30:40             65.29
sat_b           sat_a           00:32:28:17             00:33:07:41             39.24
sat_b           gs              00:32:31:18             00:33:13:55             42.37
sat_a           sat_b           00:32:42:10             00:33:36:28             54.18
sat_a           sat_c           00:32:50:43             00:33:59:86             69.43
sat_b           sat_c           00:32:59:88             00:33:32:14             32.26
gs              sat_a           00:33:02:53             00:34:01:47             58.94
sat_c           gs              00:33:05:04             00:33:59:44             54.40
gs              sat_b           00:33:21:29             00:34:23:30             62.01
sat_c           sat_a           00:34:05:94             00:34:39:75             33.81
gs              sat_a           00:34:14:31             00:35:23:66             69.35
sat_a           gs              00:34:17:87             00:35:16:54             58.67
sat_a           sat_b           00:34:38:24             00:35:14:72             36.48
sat_c           gs              00:35:01:65             00:36:08:84             67.19
sat_b           sat_c           00:35:06:31             00:36:03:93             57.62
sat_c           sat_b           00:35:07:29             00:35:59:01             51.72
sat_b           sat_a           00:35:13:47             00:36:10:81             57.34
gs              sat_c           00:35:18:34             00:36:16:60             58.26
sat_a           sat_c           00:35:18:39             00:36:13:04             54.65
gs              sat_b           00:35:23:98             00:36:24:40             60.42
sat_b           gs              00:35:24:93             00:36:31:64             66.71
sat_c           gs              00:36:01:10             00:37:06:05             64.95
sat_c           sat_a           00:36:17:96             00:37:10:32             52.36
sat_a           gs              00:36:21:59             00:37:21:74             60.15
sat_b           sat_c           00:36:43:06             00:37:49:33             66.27
sat_c           sat_b           00:36:43:77             00:37:27:82             44.05
gs              sat_c           00:36:44:28             00:37:31:50             47.22
sat_b           gs              00:36:55:37             00:37:33:00             37.63
sat_a           sat_b           00:37:00:39             00:37:54:66             54.27
sat_b           sat_a           00:37:00:89             00:37:36:88             35.99
gs              sat_b           00:37:12:19             00:38:19:63             67.44
sat_a           sat_c           00:37:14:00             00:38:01:00             47.00
gs              sat_a           00:37:29:76             00:38:19:58             49.82
gs              sat_a           00:38:00:10             00:39:08:27             68.17
sat_a           sat_b           00:38:24:02             00:39:05:45             41.43
sat_a           sat_c           00:38:29:99             00:39:25:27             55.28
sat_a           gs              00:38:31:66             00:39:40:01             68.35
sat_c           gs              00:38:46:67             00:39:31:12             44.45
sat_c           sat_a           00:38:52:38             00:39:30:56             38.18
gs              sat_c           00:38:58:33             00:39:30:36             32.03
sat_b           sat_a           00:39:00:10             00:40:09:84             69.74
sat_b           gs              00:39:04:56             00:39:34:98             30.42
sat_b           sat_c           00:39:05:35             00:40:07:64             62.29
sat_c           sat_b           00:39:17:78             00:40:25:10             67.32
gs              sat_b           00:39:29:71             00:40:22:40             52.69
gs              sat_a           00:40:10:01             00:40:50:56             40.55
sat_c           gs              00:40:19:68             00:41:27:33             67.65
sat_b           sat_c           00:40:35:50             00:41:11:72             36.22
sat_b           gs              00:40:38:06             00:41:12:58             34.52
sat_a           sat_b           00:40:43:01             00:41:14:53             31.52
gs              sat_c           00:40:45:84             00:41:24:58             38.74
sat_a           gs              00:40:46:47             00:41:53:67             67.20
sat_c           sat_a           00:40:49:83             00:41:23:58             33.75
sat_b           sat_a           00:41:00:50             00:41:58:25             57.75
gs              sat_b           00:41:05:16             00:41:40:16             35.00
sat_c           sat_b           00:41:14:41             00:41:57:78             43.37
sat_a           sat_c           00:41:20:50             00:41:52:92             32.42
sat_a           sat_b           00:42:04:64             00:43:03:91             59.27
sat_c           sat_b           00:42:27:67             00:43:17:76             50.09
sat_b           gs              00:42:35:76             00:43:22:17             46.41
gs              sat_a           00:42:35:91             00:43:37:69             61.78
gs              sat_c           00:42:36:90             00:43:30:80             53.90
sat_a           gs              00:42:42:08             00:43:29:16             47.08
sat_b           sat_a           00:42:44:62             00:43:17:69             33.07
gs              sat_b           00:42:50:00             00:43:37:69             47.69
sat_b           sat_c           00:42:50:12             00:43:56:23             66.11
sat_c           gs              00:43:10:57             00:43:54:51             43.94
sat_a           sat_c           00:43:17:40             00:44:17:14             59.74
sat_c           sat_a           00:43:29:21             00:44:07:76             38.55
sat_c           sat_a           00:44:12:03             00:45:06:61             54.58
gs              sat_c           00:44:18:84             00:44:58:17             39.33
sat_a           sat_b           00:44:25:03             00:44:59:90             34.87
sat_b           sat_c           00:44:34:69             00:45:07:01             32.32
sat_b           gs              00:44:45:45             00:45:25:01             39.56
sat_c           sat_b           00:44:50:79             00:45:52:97             62.18
sat_b           sat_a           00:44:51:27             00:45:35:29             44.02
sat_a           sat_c           00:44:51:59             00:45:32:81             41.22
sat_c           gs              00:44:58:37             00:45:39:51             41.14
gs              sat_b           00:44:58:99             00:46:06:34             67.35
gs              sat_a           00:45:10:04             00:46:06:23             56.19
sat_a           gs              00:45:24:45             00:46:28:15             63.70
sat_a           sat_c           00:46:00:52             00:46:53:05             52.53
gs              sat_c           00:46:13:57             00:46:58:90             45.33
sat_b           sat_c           00:46:18:93             00:46:56:56             37.63
sat_a           sat_b           00:46:19:45             00:46:59:12             39.67
sat_b           gs              00:46:50:92             00:47:22:82             31.90
sat_c           sat_a           00:46:54:63             00:48:02:93             68.30
sat_c           gs              00:46:58:21             00:47:38:10             39.89
gs              sat_b           00:47:00:51             00:47:47:90             47.39
sat_a           gs              00:47:09:71             00:48:11:01             61.30
sat_c           sat_b           00:47:21:37             00:48:26:58             65.21
sat_b           sat_a           00:47:23:42             00:48:17:53             54.11
gs              sat_a           00:47:23:94             00:48:26:85             62.91
sat_a           sat_c           00:48:03:65             00:48:43:72             40.07
sat_c           sat_b           00:48:03:97             00:48:48:47             44.50
sat_a           gs              00:48:04:34             00:48:58:39             54.05
sat_b           gs              00:48:24:61             00:49:09:92             45.31
sat_c           gs              00:48:44:50             00:49:51:71             67.21
sat_a           sat_b           00:48:45:37             00:49:52:77             67.40
gs              sat_c           00:48:48:93             00:49:52:11             63.18
gs              sat_b           00:48:50:17             00:49:29:42             39.25
sat_b           sat_a           00:48:59:68             00:49:43:32             43.64
sat_c           sat_a           00:49:02:70             00:49:41:69             38.99
sat_b           sat_c           00:49:07:76             00:49:54:27             46.51
gs              sat_a           00:49:13:90             00:50:08:76             54.86
sat_a           sat_c           00:50:03:34             00:50:34:20             30.86
sat_a           sat_b           00:50:06:00             00:50:59:29             53.29
sat_c           gs              00:50:09:28             00:51:11:31             62.03
sat_c           sat_a           00:50:12:42             00:51:00:54             48.12
sat_c           sat_b           00:50:21:14             00:51:19:36             58.22
sat_a           gs              00:50:24:83             00:51:27:61             62.78
gs              sat_b           00:50:27:76             00:51:24:36             56.60
sat_b           sat_c           00:50:28:64             00:51:11:01             42.37
sat_b           sat_a           00:50:43:86             00:51:34:32             50.46
sat_b           gs              00:50:52:52             00:51:52:16             59.64
gs              sat_a           00:51:07:28             00:51:39:77             32.49
gs              sat_c           00:51:10:93             00:52:09:87             58.94
gs              sat_b           00:52:02:20             00:53:03:98             61.78
sat_b           sat_a           00:52:06:59             00:52:40:72             34.13
gs              sat_c           00:52:28:60             00:53:23:93             55.33
sat_c           sat_b           00:52:42:52             00:53:38:92             56.40
sat_a           gs              00:52:45:60             00:53:38:88             53.28
sat_b           gs              00:52:52:39             00:53:58:62             66.23
sat_c           gs              00:52:57:65             00:53:36:05             38.40
sat_a           sat_b           00:53:09:21             00:53:50:35             41.14
gs              sat_a           00:53:17:44             00:53:58:97             41.53
sat_a           sat_c           00:53:20:58             00:53:52:93             32.35
sat_c           sat_a           00:53:21:11             00:53:51:51             30.40
sat_b           sat_c           00:53:29:21             00:54:22:98             53.77
sat_a           sat_c           00:54:00:43             00:54:35:36             34.93
sat_b           gs              00:54:03:74             00:55:01:54             57.80
gs              sat_a           00:54:29:19             00:55:16:91             47.72
sat_c           sat_b           00:54:35:32             00:55:27:32             52.00
sat_c           gs              00:54:36:60             00:55:20:32             43.72
sat_a           gs              00:54:46:43             00:55:33:05             46.62
sat_a           sat_b           00:55:10:87             00:56:20:81             69.94
sat_c           sat_a           00:55:11:50             00:55:57:63             46.13
gs              sat_c           00:55:12:11             00:56:14:68             62.57
sat_b           sat_c           00:55:23:95             00:56:32:11             68.16
sat_b           sat_a           00:55:27:18             00:56:27:28             60.10
gs              sat_b           00:55:29:03             00:56:05:40             36.37
sat_c           sat_b           00:56:24:84             00:56:59:35             34.51
sat_b           sat_c           00:56:25:87             00:57:33:64             67.77
sat_a           sat_c           00:56:32:66             00:57:23:16             50.50
sat_c           gs              00:56:35:95             00:57:10:13             34.18
sat_c           sat_a           00:56:37:77             00:57:46:51             68.74
sat_a           gs              00:56:45:15             00:57:32:01             46.86
sat_b           sat_a           00:56:58:83             00:57:36:95             38.12
gs              sat_a           00:57:03:43             00:57:51:57             48.14
gs              sat_b           00:57:03:49             00:57:33:91             30.42
gs              sat_c           00:57:08:68             00:58:00:72             52.04
sat_b           gs              00:57:14:97             00:57:55:53             40.56
sat_a           sat_b           00:57:22:43             00:58:22:50             60.07
sat_a           sat_b           00:58:13:01             00:59:07:07             54.06
sat_c           sat_a           00:58:17:42             00:58:54:25             36.83
sat_c           sat_b           00:58:18:73             00:59:04:06             45.33
sat_c           gs              00:58:19:60             00:58:52:56             32.96
sat_a           sat_c           00:58:20:32             00:59:13:41             53.09
gs              sat_b           00:58:27:77             00:59:10:67             42.90
sat_a           gs              00:58:28:43             00:59:02:66             34.23
sat_b           sat_a           00:58:39:62             00:59:23:13             43.51
sat_b           gs              00:58:42:22             00:59:20:47             38.25
gs              sat_c           00:58:43:55             00:59:14:38             30.83
gs              sat_a           00:59:06:14             00:59:39:81             33.67
sat_b           sat_c           00:59:16:43             00:59:57:64             41.21
sat_c           sat_b           01:00:04:90             01:01:03:09             58.19
sat_a           gs              01:00:11:44             01:00:58:15             46.71
sat_c           sat_a           01:00:13:45             01:01:03:68             50.23
gs              sat_c           01:00:19:61             01:01:24:96             65.35
sat_c           gs              01:00:22:52             01:00:52:87             30.35
gs              sat_a           01:00:30:03             01:01:23:93             53.90
sat_a           sat_b           01:00:35:52             01:01:20:69             45.17
sat_b           sat_c           01:00:46:70             01:01:26:10             39.40
sat_a           sat_c           01:00:59:20             01:01:39:85             40.65
sat_b           sat_a           01:01:11:54             01:01:57:28             45.74
gs              sat_b           01:01:14:80             01:02:22:13             67.33
sat_b           gs              01:01:20:31             01:02:26:21             65.90
sat_b           sat_a           01:02:08:71             01:02:46:07             37.36
sat_a           sat_c           01:02:18:30             01:03:27:33             69.03
sat_c           sat_a           01:02:18:99             01:02:50:05             31.06
gs              sat_c           01:02:33:97             01:03:33:28             59.31
sat_c           sat_b           01:02:43:04             01:03:45:20             62.16
gs              sat_a           01:02:46:24             01:03:20:48             34.24
sat_a           sat_b           01:02:49:70             01:03:39:93             50.23
gs              sat_b           01:02:56:76             01:03:37:49             40.73
sat_b           sat_c           01:02:59:32             01:03:52:73             53.41
sat_c           gs              01:03:15:68             01:04:05:13             49.45
sat_a           gs              01:03:19:22             01:04:26:16             66.94
sat_b           gs              01:03:24:88             01:04:11:48             46.60
sat_a           sat_c           01:04:10:23             01:04:52:29             42.06
sat_a           sat_b           01:04:10:63             01:05:14:86             64.23
sat_c           sat_b           01:04:14:03             01:05:19:73             65.70
sat_b           gs              01:04:22:63             01:05:24:07             61.44
sat_c           gs              01:04:24:33             01:05:00:11             35.78
gs              sat_c           01:04:38:71             01:05:17:14             38.43
gs              sat_a           01:04:41:21             01:05:45:24             64.03
sat_b           sat_c           01:04:53:25             01:05:25:12             31.87
sat_a           gs              01:04:54:58             01:06:03:15             68.57
gs              sat_b           01:05:08:47             01:05:55:49             47.02
sat_c           sat_a           01:05:12:53             01:05:58:71             46.18
sat_b           sat_a           01:05:16:13             01:06:12:79             56.66
sat_c           gs              01:06:01:30             01:06:43:32             42.02
sat_b           gs              01:06:03:29             01:06:59:46             56.17
gs              sat_c           01:06:03:99             01:07:02:38             58.39
sat_b           sat_a           01:06:06:83             01:06:54:20             47.37
sat_c           sat_b           01:06:08:21             01:07:11:19             62.98
sat_a           sat_b           01:06:16:87             01:07:06:52             49.65
sat_c           sat_a           01:06:30:83             01:07:22:83             52.00
sat_a           sat_c           01:06:51:74             01:07:57:42             65.68
gs              sat_a           01:07:03:11             01:07:56:48             53.37
gs              sat_b           01:07:06:39             01:07:38:24             31.85
sat_b           sat_c           01:07:22:37             01:08:30:74             68.37
sat_a           gs              01:07:27:09             01:08:17:71             50.62
sat_a           sat_b           01:08:01:08             01:09:01:75             60.67
sat_c           sat_a           01:08:07:59             01:08:44:91             37.32
sat_c           gs              01:08:07:71             01:09:06:62             58.91
gs              sat_a           01:08:30:22             01:09:38:89             68.67
gs              sat_c           01:08:42:01             01:09:38:11             56.10
sat_b           sat_c           01:08:48:60             01:09:41:20             52.60
sat_b           sat_a           01:08:54:14             01:09:36:24             42.10
gs              sat_b           01:09:07:19             01:10:12:24             65.05
sat_a           sat_c           01:09:07:77             01:10:12:19             64.42
sat_c           sat_b           01:09:18:37             01:09:56:27             37.90
sat_b           gs              01:09:26:09             01:10:29:54             63.45
sat_a           gs              01:09:28:98             01:10:06:79             37.81
sat_a           sat_b           01:10:01:65             01:10:59:00             57.35
gs              sat_c           01:10:04:31             01:10:48:67             44.36
sat_a           sat_c           01:10:08:90             01:10:39:26             30.36
sat_c           gs              01:10:13:79             01:10:44:69             30.90
gs              sat_b           01:10:16:82             01:10:48:55             31.73
gs              sat_a           01:10:29:59             01:11:00:31             30.72
sat_b           sat_c           01:10:52:35             01:12:01:07             68.72
sat_b           sat_a           01:10:54:95             01:11:44:94             49.99
sat_a           gs              01:10:55:81             01:11:27:53             31.72
sat_c           sat_a           01:11:19:27             01:11:49:99             30.72
sat_c           sat_b           01:11:23:01             01:12:25:63             62.62
sat_b           gs              01:11:27:62             01:12:06:71             39.09
sat_c           sat_a           01:12:14:51             01:12:47:06             32.55
sat_b           sat_c           01:12:15:89             01:13:05:54             49.65
sat_c           gs              01:12:17:93             01:13:22:10             64.17
gs              sat_b           01:12:28:50             01:13:29:56             61.06
sat_a           sat_b           01:12:29:06             01:13:18:17             49.11
sat_a           sat_c           01:12:35:87             01:13:42:57             66.70
sat_a           gs              01:12:42:01             01:13:41:74             59.73
sat_b           sat_a           01:12:43:45             01:13:27:26             43.81
gs              sat_a           01:12:57:10             01:13:42:19             45.09
sat_b           gs              01:13:09:42             01:13:42:70             33.28
sat_c           sat_b           01:13:13:87             01:13:59:98             46.11
gs              sat_c           01:13:17:52             01:14:02:44             44.92
gs              sat_a           01:14:11:13             01:15:20:11             68.98
sat_c           sat_a           01:14:15:99             01:15:16:87             60.88
sat_b           sat_a           01:14:19:55             01:15:20:16             60.61
sat_c           sat_b           01:14:24:21             01:14:55:81             31.60
sat_b           gs              01:14:38:37             01:15:11:19             32.82
sat_a           sat_b           01:14:40:59             01:15:28:96             48.37
sat_b           sat_c           01:14:44:63             01:15:47:69             63.06
gs              sat_c           01:14:46:84             01:15:27:80             40.96
gs              sat_b           01:14:47:96             01:15:41:68             53.72
sat_a           sat_c           01:14:49:00             01:15:50:07             61.07
sat_c           gs              01:14:51:36             01:15:22:44             31.08
sat_a           gs              01:15:05:73             01:15:46:55             40.82
sat_c           sat_a           01:16:07:63             01:16:57:91             50.28
gs              sat_a           01:16:14:94             01:16:46:44             31.50
sat_a           gs              01:16:15:39             01:16:57:24             41.85
sat_b           gs              01:16:23:05             01:17:20:36             57.31
sat_c           sat_b           01:16:36:68             01:17:40:54             63.86
gs              sat_b           01:16:37:40             01:17:17:03             39.63
gs              sat_c           01:16:49:88             01:17:25:96             36.08
sat_a           sat_b           01:16:52:75             01:17:50:09             57.34
sat_a           sat_c           01:17:04:57             01:17:46:31             41.74
sat_b           sat_c           01:17:13:14             01:17:55:30             42.16
sat_c           gs              01:17:15:09             01:18:06:40             51.31
sat_b           sat_a           01:17:23:11             01:18:09:87             46.76
sat_a           sat_b           01:18:10:88             01:18:43:55             32.67
sat_b           sat_c           01:18:17:56             01:19:05:80             48.24
gs              sat_b           01:18:29:25             01:19:03:75             34.50
sat_c           gs              01:18:30:61             01:19:07:63             37.02
gs              sat_c           01:18:31:61             01:19:05:71             34.10
sat_c           sat_a           01:18:34:39             01:19:25:82             51.43
sat_b           gs              01:18:34:89             01:19:13:44             38.55
sat_a           gs              01:18:45:91             01:19:16:78             30.87
sat_a           sat_c           01:18:54:46             01:19:26:96             32.50
sat_b           sat_a           01:18:55:97             01:19:27:19             31.22
sat_c           sat_b           01:19:00:53             01:19:54:31             53.78
gs              sat_a           01:19:23:94             01:20:25:78             61.84
sat_a           sat_c           01:20:03:50             01:20:39:58             36.08
